iter	Passed	Remaining
0	1	187
1	3	151
2	4	133
3	5	122
4	6	116
5	7	112
6	8	107
7	8	101
8	9	98
9	10	94
10	11	93
11	13	95
12	15	100
13	16	102
14	17	100
15	18	98
16	19	97
17	20	94
18	21	92
19	22	90
20	23	87
21	23	84
22	24	82
23	25	80
24	26	78
25	27	78
26	29	79
27	31	81
28	32	79
29	33	78
30	34	77
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	68
37	40	66
38	42	66
39	43	65
40	45	64
41	46	63
42	47	62
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	102	1
99	103	0
