iter	Passed	Remaining
0	1	1840
1	3	1922
2	5	1729
3	6	1626
4	7	1567
5	9	1542
6	10	1504
7	11	1480
8	13	1454
9	14	1437
10	15	1425
11	17	1474
12	20	1538
13	21	1527
14	23	1514
15	24	1500
16	25	1485
17	26	1469
18	28	1460
19	29	1446
20	30	1435
21	32	1428
22	33	1422
23	34	1415
24	36	1407
25	37	1397
26	38	1392
27	40	1389
28	41	1401
29	43	1393
30	44	1387
31	45	1383
32	47	1380
33	49	1412
34	51	1407
35	52	1405
36	53	1397
37	54	1389
38	56	1380
39	57	1371
40	58	1363
41	59	1355
42	60	1349
43	61	1346
44	63	1354
45	65	1350
46	66	1344
47	67	1343
48	69	1340
49	70	1334
50	71	1329
51	72	1323
52	73	1318
53	74	1311
54	76	1306
55	77	1304
56	79	1309
57	80	1305
58	81	1302
59	82	1298
60	84	1294
61	85	1289
62	86	1285
63	87	1280
64	88	1275
65	89	1270
66	90	1267
67	92	1263
68	95	1286
69	97	1292
70	98	1292
71	99	1288
72	101	1285
73	102	1283
74	104	1290
75	106	1291
76	107	1290
77	109	1291
78	110	1291
79	112	1292
80	114	1299
81	115	1298
82	116	1288
83	117	1286
84	119	1286
85	121	1286
86	122	1284
87	123	1283
88	125	1281
89	126	1280
90	127	1278
91	129	1274
92	130	1270
93	131	1267
94	132	1263
95	133	1259
96	134	1255
97	136	1259
98	138	1262
99	140	1265
100	142	1266
101	144	1268
102	145	1269
103	147	1270
104	149	1270
105	150	1269
106	151	1267
107	153	1265
108	154	1265
109	156	1265
110	157	1265
111	159	1263
112	160	1260
113	161	1256
114	162	1253
115	164	1250
116	164	1245
117	166	1241
118	167	1238
119	169	1239
120	170	1238
121	171	1235
122	172	1233
123	174	1230
124	175	1227
125	176	1223
126	177	1223
127	179	1224
128	181	1225
129	183	1229
130	185	1229
131	187	1230
132	188	1228
133	189	1225
134	190	1223
135	192	1222
136	193	1220
137	194	1217
138	196	1215
139	197	1215
140	199	1218
141	201	1216
142	202	1214
143	204	1215
144	205	1214
145	207	1213
146	208	1212
147	210	1210
148	211	1207
149	213	1208
150	214	1207
151	216	1206
152	217	1204
153	218	1201
154	220	1200
155	221	1200
156	223	1198
157	224	1195
158	225	1193
159	226	1190
160	227	1186
161	228	1183
162	230	1181
163	232	1185
164	235	1191
165	237	1191
166	238	1189
167	240	1188
168	241	1189
169	243	1189
170	245	1189
171	246	1187
172	248	1186
173	250	1187
174	251	1185
175	253	1184
176	254	1183
177	255	1181
178	257	1180
179	258	1179
180	260	1177
181	261	1176
182	264	1179
183	265	1178
184	266	1175
185	268	1173
186	269	1171
187	271	1170
188	272	1169
189	274	1168
190	275	1166
191	276	1164
192	278	1162
193	279	1160
194	280	1157
195	281	1154
196	282	1153
197	284	1150
198	285	1148
199	286	1145
200	288	1145
201	289	1144
202	290	1142
203	292	1140
204	293	1139
205	295	1137
206	296	1135
207	297	1133
208	298	1130
209	299	1128
210	301	1126
211	302	1124
212	304	1124
213	305	1122
214	306	1120
215	308	1119
216	309	1116
217	310	1114
218	311	1111
219	312	1109
220	314	1107
221	315	1105
222	316	1103
223	318	1102
224	319	1102
225	321	1101
226	322	1099
227	324	1097
228	325	1095
229	326	1093
230	327	1091
231	329	1089
232	330	1087
233	331	1085
234	332	1083
235	334	1083
236	338	1088
237	339	1087
238	341	1087
239	344	1089
240	346	1091
241	350	1097
242	353	1100
243	354	1099
244	356	1098
245	357	1096
246	359	1095
247	362	1099
248	364	1099
249	365	1097
250	367	1096
251	368	1093
252	369	1091
253	370	1088
254	371	1086
255	372	1083
256	374	1081
257	375	1079
258	377	1079
259	378	1078
260	380	1075
261	381	1073
262	382	1071
263	383	1068
264	384	1066
265	386	1065
266	387	1063
267	388	1060
268	389	1059
269	391	1057
270	392	1056
271	394	1054
272	395	1052
273	396	1050
274	397	1048
275	398	1046
276	399	1043
277	401	1041
278	402	1039
279	403	1036
280	404	1035
281	406	1033
282	407	1032
283	408	1030
284	409	1028
285	411	1026
286	412	1024
287	413	1022
288	414	1020
289	415	1018
290	417	1016
291	418	1014
292	419	1012
293	420	1009
294	422	1008
295	423	1007
296	425	1006
297	426	1004
298	427	1002
299	428	1000
300	430	998
301	431	997
302	432	995
303	433	993
304	434	991
305	436	989
306	437	987
307	438	985
308	439	983
309	441	981
310	442	979
311	443	977
312	444	974
313	445	973
314	446	971
315	447	969
316	448	967
317	450	965
318	451	963
319	453	963
320	454	961
321	456	960
322	457	958
323	458	957
324	460	955
325	461	953
326	462	951
327	463	949
328	464	947
329	465	945
330	467	944
331	468	943
332	470	942
333	472	941
334	473	939
335	474	937
336	476	936
337	477	934
338	478	932
339	479	930
340	480	928
341	481	926
342	483	926
343	484	924
344	486	922
345	487	921
346	488	919
347	489	917
348	490	915
349	491	913
350	492	911
351	493	909
352	494	906
353	495	904
354	497	903
355	498	901
356	499	899
357	500	898
358	501	896
359	502	894
360	504	892
361	505	890
362	506	888
363	507	886
364	508	884
365	509	882
366	510	879
367	511	877
368	512	876
369	513	874
370	514	873
371	516	871
372	517	869
373	518	867
374	519	866
375	520	864
376	521	862
377	523	860
378	524	858
379	525	856
380	526	854
381	527	853
382	528	851
383	530	850
384	531	848
385	532	846
386	533	845
387	534	843
388	535	841
389	536	839
390	537	837
391	538	835
392	539	833
393	540	831
394	542	830
395	543	828
396	544	827
397	545	825
398	547	824
399	548	822
400	549	820
401	550	818
402	551	816
403	552	814
404	553	813
405	554	811
406	555	809
407	556	807
408	557	806
409	559	805
410	560	803
411	562	802
412	563	800
413	564	798
414	565	797
415	566	795
416	567	793
417	568	791
418	569	790
419	570	788
420	572	787
421	574	786
422	575	785
423	577	784
424	578	782
425	579	780
426	580	778
427	581	777
428	582	775
429	583	773
430	584	771
431	585	770
432	586	768
433	588	767
434	589	765
435	590	764
436	591	762
437	593	760
438	594	759
439	595	757
440	596	755
441	597	754
442	598	752
443	599	750
444	600	748
445	601	747
446	602	745
447	604	744
448	605	743
449	607	741
450	608	740
451	609	739
452	610	737
453	611	735
454	613	734
455	614	732
456	615	730
457	616	729
458	617	727
459	619	726
460	620	725
461	621	723
462	622	721
463	623	719
464	624	718
465	625	716
466	626	715
467	627	713
468	629	712
469	630	710
470	631	709
471	632	707
472	633	706
473	634	704
474	635	702
475	636	701
476	637	699
477	638	697
478	640	696
479	641	695
480	642	693
481	644	692
482	645	690
483	646	689
484	647	687
485	648	686
486	649	684
487	650	682
488	651	680
489	652	679
490	653	677
491	654	676
492	656	674
493	657	673
494	658	672
495	659	670
496	660	668
497	662	667
498	663	665
499	664	664
500	665	662
501	666	660
502	667	659
503	668	657
504	669	656
505	670	654
506	671	653
507	672	651
508	673	650
509	674	648
510	675	646
511	676	645
512	677	643
513	678	641
514	679	640
515	680	638
516	681	637
517	683	635
518	683	633
519	685	632
520	686	630
521	687	629
522	688	627
523	689	626
524	690	624
525	691	623
526	692	621
527	693	620
528	695	619
529	696	617
530	697	616
531	699	615
532	701	614
533	702	612
534	703	611
535	704	609
536	705	608
537	706	607
538	707	605
539	709	604
540	710	602
541	711	601
542	712	600
543	714	598
544	715	597
545	717	596
546	718	595
547	719	593
548	720	592
549	721	590
550	722	588
551	723	587
552	725	586
553	726	584
554	727	583
555	728	581
556	729	580
557	730	578
558	731	577
559	732	575
560	734	574
561	735	573
562	736	571
563	737	570
564	738	568
565	739	567
566	740	565
567	741	564
568	742	562
569	743	561
570	744	559
571	745	558
572	747	556
573	749	556
574	750	554
575	751	553
576	752	551
577	754	550
578	755	549
579	756	547
580	757	546
581	758	544
582	759	543
583	761	542
584	762	540
585	763	539
586	764	537
587	765	536
588	767	535
589	768	534
590	769	532
591	770	531
592	771	529
593	772	528
594	774	526
595	775	525
596	776	524
597	777	523
598	779	521
599	780	520
600	781	518
601	782	517
602	783	515
603	784	514
604	785	512
605	786	511
606	787	509
607	788	508
608	789	507
609	791	505
610	792	504
611	793	503
612	795	502
613	796	500
614	798	499
615	799	498
616	800	496
617	801	495
618	802	493
619	803	492
620	804	491
621	805	489
622	807	488
623	808	486
624	809	485
625	810	484
626	812	483
627	813	481
628	814	480
629	815	478
630	816	477
631	817	476
632	818	474
633	819	473
634	821	471
635	822	470
636	823	469
637	824	467
638	825	466
639	826	464
640	827	463
641	828	462
642	829	460
643	831	459
644	832	457
645	833	456
646	834	455
647	835	453
648	836	452
649	837	450
650	838	449
651	839	448
652	841	447
653	842	445
654	843	444
655	844	442
656	845	441
657	846	440
658	847	438
659	848	437
660	849	435
661	851	434
662	852	433
663	854	432
664	855	430
665	856	429
666	857	428
667	858	426
668	859	425
669	861	424
670	862	422
671	863	421
672	864	419
673	865	418
674	866	417
675	868	416
676	870	415
677	872	414
678	873	412
679	874	411
680	875	410
681	876	408
682	877	407
683	879	406
684	880	404
685	881	403
686	882	402
687	883	400
688	884	399
689	885	398
690	887	396
691	888	395
692	889	393
693	890	392
694	891	391
695	892	389
696	893	388
697	894	386
698	895	385
699	896	384
700	897	382
701	899	381
702	900	380
703	901	379
704	902	377
705	903	376
706	904	374
707	905	373
708	906	372
709	907	370
710	908	369
711	909	367
712	910	366
713	911	365
714	913	363
715	914	362
716	915	361
717	916	360
718	917	358
719	918	357
720	919	355
721	921	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	928	345
729	929	343
730	931	342
731	932	341
732	933	339
733	934	338
734	935	337
735	936	335
736	937	334
737	938	333
738	939	331
739	940	330
740	942	329
741	943	328
742	945	326
743	946	325
744	947	324
745	948	322
746	949	321
747	950	320
748	951	318
749	952	317
750	953	316
751	954	314
752	955	313
753	957	312
754	958	310
755	959	309
756	960	308
757	961	307
758	962	305
759	963	304
760	964	303
761	965	301
762	967	300
763	968	299
764	969	297
765	970	296
766	971	294
767	972	293
768	973	292
769	974	291
770	975	289
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	281
777	983	280
